NoEpoch, TrainErr, ValidErr, TestErr, TrainAvgLoss, ValidAvgLoss, TestAvgLoss
1, 7.638%, 7.13%, 7.41%, 0.269324519693, 0.253514064365, 0.262922708167
2, 5.822%, 5.33%, 5.86%, 0.202839311687, 0.195245438353, 0.201526323269
3, 4.148%, 4.05%, 4.48%, 0.150952695251, 0.151026405055, 0.15644423527
4, 3.484%, 3.58%, 4.05%, 0.125488947185, 0.131766359743, 0.134916395185
5, 2.94%, 3.28%, 3.51%, 0.108680474338, 0.11954134835, 0.121400434313
6, 2.362%, 2.91%, 2.99%, 0.0900798250766, 0.105811973635, 0.104984178703
7, 2.006%, 2.72%, 2.67%, 0.0783683369462, 0.0960292080242, 0.0959441328545
8, 1.868%, 2.56%, 2.71%, 0.0730276385825, 0.0944640610374, 0.0923411449598
9, 1.786%, 2.61%, 2.6%, 0.069680676938, 0.0923739899012, 0.09101840455
10, 1.512%, 2.37%, 2.48%, 0.0598196860592, 0.085136166586, 0.0844164814172
11, 1.256%, 2.28%, 2.43%, 0.0539908427504, 0.0818392555808, 0.0799801655742
12, 1.15%, 2.22%, 2.24%, 0.0498658399458, 0.079207992204, 0.0761544186637
13, 1.502%, 2.55%, 2.51%, 0.0566553291742, 0.0887693781726, 0.0858473871473
14, 0.924%, 2.15%, 2.11%, 0.0437688813683, 0.0751819377999, 0.0740068529299
15, 0.844%, 2.06%, 2.08%, 0.0413564332187, 0.0740093913348, 0.0709985616068
16, 0.832%, 2.12%, 2.08%, 0.0401844635105, 0.0744873940303, 0.0720086705791
17, 0.888%, 2.2%, 2.15%, 0.0394233176977, 0.0737510229352, 0.0706879606467
18, 0.646%, 2.03%, 1.98%, 0.0341914686635, 0.0697079132172, 0.0660216143766
19, 0.73%, 2.0%, 2.09%, 0.034965116775, 0.071297265968, 0.067299644802
20, 0.566%, 1.98%, 1.99%, 0.0321212392496, 0.0688961923514, 0.0671343602357
21, 0.512%, 1.87%, 2.0%, 0.0314728489843, 0.0687772433835, 0.0663107547331
22, 0.508%, 1.92%, 2.0%, 0.0303068274762, 0.068409600569, 0.0654239683714
23, 0.472%, 1.96%, 1.99%, 0.0291521599303, 0.067741277055, 0.0637151059809
24, 0.45%, 1.94%, 1.9%, 0.0284697391461, 0.0685681463707, 0.0651769169183
25, 0.432%, 1.86%, 1.85%, 0.0275567527545, 0.0660240040393, 0.0622541616325
26, 0.354%, 1.89%, 1.89%, 0.0262575740767, 0.0654751968721, 0.062450270064
27, 0.356%, 1.82%, 1.92%, 0.0257790424526, 0.0664959198381, 0.063612362308
28, 0.36%, 2.02%, 1.95%, 0.0263327612831, 0.0674394305026, 0.06357711367
29, 0.344%, 1.88%, 1.89%, 0.024832705294, 0.064811052728, 0.0633462085195
30, 0.298%, 1.94%, 1.88%, 0.0244531896878, 0.0657307492574, 0.0618273680849
31, 0.348%, 1.99%, 1.88%, 0.0251824101635, 0.0668450992955, 0.0633832975659
32, 0.244%, 1.83%, 1.81%, 0.023339115882, 0.0639292403946, 0.0604655853764
33, 0.334%, 2.0%, 1.99%, 0.0253863691635, 0.0679502367189, 0.065384508392
34, 0.236%, 1.75%, 1.81%, 0.022785456993, 0.0641088878252, 0.0606837938661
35, 0.198%, 1.82%, 1.86%, 0.0218893814404, 0.064090780679, 0.0607602162831
36, 0.282%, 1.83%, 1.88%, 0.0225012902807, 0.0636995756872, 0.0602620457711
37, 0.198%, 1.75%, 1.87%, 0.0216735209522, 0.0628466019247, 0.0607064578065
38, 0.194%, 1.84%, 1.84%, 0.0213608178229, 0.0641406870495, 0.0607966221688
39, 0.238%, 1.89%, 1.99%, 0.0226061244857, 0.0649028564936, 0.0628472728782
40, 0.202%, 1.83%, 1.82%, 0.021418787768, 0.0637458710941, 0.0603576056929
41, 0.198%, 1.8%, 1.94%, 0.0213106387274, 0.0639794568883, 0.060754036009
42, 0.16%, 1.75%, 1.85%, 0.0203695294592, 0.0627216948123, 0.0596961937556
43, 0.188%, 1.8%, 1.79%, 0.0206041311672, 0.0627749260413, 0.0582056838462
44, 0.19%, 1.87%, 1.85%, 0.0208679265593, 0.062817951741, 0.0601734971111
45, 0.174%, 1.8%, 1.85%, 0.0201172889618, 0.0627159918142, 0.0593199668071
46, 0.142%, 1.72%, 1.78%, 0.0200291110475, 0.0621244844723, 0.0588284984684
47, 0.152%, 1.79%, 1.86%, 0.0200067454627, 0.0631830790045, 0.0604820419692
48, 0.14%, 1.75%, 1.85%, 0.0196906736983, 0.0628554113385, 0.0594466044727
49, 0.158%, 1.76%, 1.84%, 0.0196798400432, 0.0619721562981, 0.0586939118204
50, 0.156%, 1.76%, 1.82%, 0.0200190915627, 0.0636486300084, 0.0593582639471
